Stock Code,Stock name, Price, Compared to the previous day,,fluctuation rate,Volume,sell price,buying price,open price, high price, low price
'261220,KODEX WTI원유선물(H),15325,▼,-20,-0.13,63663,15325,15320,15345,15390,15270
'261240,KODEX 미국달러선물,12680,▼,-75,-0.59,228633,12680,12675,12725,12745,12665
'261250,KODEX 미국달러선물레버리지,14525,▼,-145,-0.99,190271,14540,14525,14595,14655,14475
'261260,KODEX 미국달러선물인버스2X,5975,▲,60,1.01,1301454,5975,5970,5940,5995,5920
'261270,KODEX 미국달러선물인버스,8010,▲,40,0.5,92838,8010,8005,7990,8020,7975
'261920,ACE 필리핀MSCI(합성),12820,▲,120,0.94,5,12820,12770,12805,12820,12805
'264900,크라운제과,7970,▼,-80,-0.99,20907,7980,7970,8180,8180,7930
'26490K,크라운제과우,10700,▼,-200,-1.83,3815,10700,10650,10750,11050,10650
'265690,ACE 러시아MSCI(합성),10070, ,0,0,0,0,0,0,0,0
'266160,KBSTAR 고배당,10575,▲,55,0.52,47733,10575,10550,10520,10605,10480
'266360,KODEX 미디어&엔터테인먼트,11070,▼,-135,-1.2,2469,11070,11065,11205,11210,11060
'266370,KODEX IT,15805,▲,200,1.28,12200,15805,15755,15715,15865,15615
'266390,KODEX 경기소비재,8565,▼,-115,-1.32,336,8580,8560,8610,8615,8540
'266410,KODEX 필수소비재,6460,▼,-10,-0.15,9311,6460,6440,6455,6485,6410
'266420,KODEX 헬스케어,11645,▲,10,0.09,8643,11655,11640,11675,11720,11530
'266550,ARIRANG 중형주저변동50,9150,▼,-35,-0.38,38,9150,9125,9180,9205,9150
'267250,HD현대,56200,▼,-300,-0.53,72841,56200,56100,56200,56600,55400
'267260,현대일렉트릭,33100,▲,1800,5.75,738512,33150,33100,31550,33550,30750
'267270,현대건설기계,35600,▲,3400,10.56,784336,35650,35600,33000,37150,32800
'267290,경동도시가스,23200,▲,150,0.65,109662,23250,23200,22800,23200,22350
'267440,KBSTAR 미국장기국채선물(H),8700,▲,130,1.52,6728,8700,8690,8640,8705,8640
'267450,KBSTAR 미국장기국채선물인버스(H),10450,▼,-155,-1.46,24325,10510,10450,10545,10565,10450
'267490,KBSTAR 미국장기국채선물레버리지(합성 H),6990,▲,220,3.25,27806,6990,6985,6950,7015,6900
'267500,KBSTAR 미국장기국채선물인버스2X(합성 H),10025,▼,-280,-2.72,4632,10025,10005,10070,10075,10010
'267770,TIGER 200선물레버리지,9795,▲,140,1.45,446566,9795,9790,9640,9885,9615
'267850,아시아나IDT,10750,▼,-250,-2.27,7949,10750,10700,10950,11300,10600
'268280,미원에스씨,171000, ,0,0,580,171000,170000,171000,171000,170000
'269370,TIGER S&P글로벌인프라(합성),11990,▲,50,0.42,97,11990,11980,11955,12070,11955
'269420,KODEX S&P글로벌인프라(합성),13815,▲,120,0.88,7893,13815,13685,13805,13825,13700
'269530,ARIRANG S&P글로벌인프라,13680,▲,15,0.11,7935,13680,13675,13695,13695,13675
'269540,ARIRANG 미국S&P500(H),16420,▲,75,0.46,23222,16420,16410,16390,16440,16380
'270800,KBSTAR KQ고배당,11105,▼,-25,-0.22,716,11105,11065,11130,11130,11070
'270810,KBSTAR 코스닥150,9765,▼,-50,-0.51,7439,9785,9755,9800,9870,9755
'271050,KODEX WTI원유선물인버스(H),4660, ,0,0,445717,4665,4660,4660,4680,4645
'271060,KODEX 3대농산물선물(H),13000,▲,95,0.74,14467,13000,12990,12775,13000,12770
'271560,오리온,102000,▲,1500,1.49,65381,102000,101500,100000,102000,98200
'271940,일진하이솔루스,29900, ,0,0,29427,30000,29900,30100,30650,29650
'271980,제일약품,17300,▼,-250,-1.42,4289,17300,17250,17750,17750,17250
'272210,한화시스템,11000,▼,-50,-0.45,420814,11050,11000,11100,11250,10950
'272220,ACE 스마트모멘텀,12570,▲,115,0.92,20,12575,12540,12515,12570,12515
'272230,ACE 스마트밸류,11335,▲,85,0.76,20,11340,11305,11290,11335,11290
'272450,진에어,12650,▲,100,0.8,250794,12650,12600,12600,12950,12450
'272550,삼양패키징,16050,▼,-50,-0.31,8520,16050,15900,16200,16200,15850
'272560,KBSTAR 단기국공채액티브,102550,▲,15,0.01,390,102560,102555,102545,102555,102535
'272570,KBSTAR 중장기국공채액티브,95860,▲,290,0.3,5586,96000,95920,95600,95870,95600
'272580,TIGER 단기채권액티브,50820,▼,-5,-0.01,2181,50820,50815,50825,50825,50815
'272910,ACE 중장기국공채액티브,91815,▲,400,0.44,7,91815,91735,91745,91870,91525
'273130,KODEX 종합채권(AA-이상)액티브,98115,▲,785,0.81,6438,98115,97945,97690,98225,97560
'273140,KODEX 단기변동금리부채권액티브,104455,▼,-55,-0.05,756,104455,104445,104440,104455,104440
'275280,KODEX MSCI모멘텀,9250,▼,-20,-0.22,9,9250,9230,9250,9250,9250
'275290,KODEX MSCI밸류,9670,▲,10,0.1,0,9710,9670,0,0,0
'275300,KODEX MSCI퀄리티,7525, ,0,0,0,7545,7515,0,0,0
'275750,KBSTAR 코스닥150선물인버스,5785,▲,20,0.35,4320,5785,5780,5765,5795,5730
'275980,TIGER 글로벌4차산업혁신기술(합성 H),13680,▲,145,1.07,114147,13680,13675,13505,13690,13505
'276000,TIGER 글로벌자원생산기업(합성 H),14955,▲,15,0.1,1590,14950,14840,14970,14980,14835
'276650,KBSTAR 글로벌4차산업IT(합성 H),16365,▲,190,1.17,1185,16370,16350,16295,16600,16295
'276970,KODEX 미국S&P500배당귀족커버드콜(합성 H),8615,▲,25,0.29,9941,8615,8580,8595,8645,8550
'276990,KODEX 글로벌4차산업로보틱스(합성),14485,▲,40,0.28,3986,14485,14420,14450,14545,14400
'277540,ACE 아시아TOP50S&P,10405,▲,35,0.34,284,10405,10345,10275,10500,10270
'277630,TIGER 코스피,23165,▲,155,0.67,21919,23205,23200,23125,23250,23090
'277640,TIGER 코스피대형주,11280,▲,85,0.76,1580,11305,11280,11230,11325,11230
'277650,TIGER 코스피중형주,12405,▼,-50,-0.4,70,12390,12355,12465,12465,12405
'278240,KBSTAR 코스닥150선물레버리지,7045,▼,-50,-0.7,22335,7050,7045,7125,7175,7010
'278420,ARIRANG ESG우수기업,7765,▼,-35,-0.45,68,7765,7745,7800,7800,7755
'278530,KODEX 200TR,9855,▲,65,0.66,2026100,9855,9850,9800,9905,9765
'278540,KODEX MSCI Korea TR,9780,▲,110,1.14,238477,9790,9765,9695,9810,9695
'278620,ARIRANG 단기채권액티브,105925,▲,40,0.04,2036,105920,105915,105910,105925,105900
'279530,KODEX 고배당,8815,▼,-45,-0.51,69229,8815,8800,8860,8860,8780
'279540,KODEX 최소변동성,9865,▲,40,0.41,34197,9895,9870,9830,9900,9830
'280320,ACE 미국IT인터넷S&P(합성 H),11210,▲,225,2.05,3499,11210,11115,11025,11215,11025
'280360,롯데제과,131500,▲,1500,1.15,19329,132000,131500,129500,133000,129500
'280920,ARIRANG 주도업종,7265,▼,-20,-0.27,27,7265,7250,7275,7320,7255
'280930,KODEX 미국러셀2000(H),11515,▲,210,1.86,54686,11515,11485,11350,11515,11350
'280940,KODEX 골드선물인버스(H),7775,▼,-10,-0.13,12419,7775,7770,7785,7860,7775
'281820,케이씨텍,15500,▼,-200,-1.27,22655,15550,15500,15850,15900,15400
'281990,KBSTAR 중소형고배당,9735,▼,-55,-0.56,1052,9755,9730,9765,9780,9720
'282000,KBSTAR 국고채3년선물인버스,106305,▼,-210,-0.2,187168,106365,106305,106420,106500,106250
'282330,BGF리테일,182000,▲,1000,0.55,24601,182000,181000,179000,185000,179000
'282690,동아타이어,11450,▲,50,0.44,8944,11450,11400,11450,11500,11350
'283580,KODEX 차이나CSI300,11605,▲,30,0.26,7580,11605,11570,11580,11725,11520
'284430,KODEX 200미국채혼합,11960,▲,65,0.55,11337,11960,11950,11935,11985,11930
'284740,쿠쿠홈시스,28500,▼,-300,-1.04,14850,28700,28500,28450,28950,28150
'284980,KBSTAR 200금융,6930,▼,-40,-0.57,211,6930,6905,6965,7010,6910
'284990,KBSTAR 200에너지화학,9545,▲,35,0.37,57,9595,9565,9600,9660,9545
'285000,KBSTAR 200IT,12345,▲,150,1.23,124,12375,12340,12215,12390,12215
'285010,KBSTAR 200중공업,7940,▼,-35,-0.44,847,7955,7940,8020,8025,7935
'285020,KBSTAR 200철강소재,7195,▼,-40,-0.55,1588,7195,7175,7245,7285,7175
'285130,SK케미칼,86100,▼,-2300,-2.6,52755,86300,86100,89000,89000,86100
'28513K,SK케미칼우,39100,▼,-650,-1.64,1956,39200,39100,40250,40250,39050
'285690,FOCUS ESG리더스,8895,▲,5,0.06,1,8860,8830,8895,8895,8895
'286940,롯데정보통신,22250,▼,-250,-1.11,10323,22300,22250,22500,22500,22200
'287180,ARIRANG 미국나스닥테크,19305,▼,-30,-0.16,4226,19305,19165,19320,19465,18310
'287300,KBSTAR 200건설,10160,▼,-140,-1.36,364,10185,10170,10295,10295,10160
'287310,KBSTAR 200경기소비재,8365,▼,-100,-1.18,439,8405,8390,8455,8455,8365
'287320,KBSTAR 200산업재,10520,▲,100,0.96,8,10545,10515,10410,10520,10410
'287330,KBSTAR 200생활소비재,5820,▼,-35,-0.6,42,5850,5830,5850,5850,5805
'289040,KODEX MSCI KOREA ESG유니버설,8860,▲,65,0.74,263,8865,8825,8850,8870,8850
'289250,TIGER MSCI KOREA ESG유니버설,8820,▲,80,0.92,4,8815,8795,8745,8820,8745
'289260,TIGER MSCI KOREA ESG리더스,7910,▼,-5,-0.06,88,7915,7900,7930,7930,7910
'289480,TIGER 200커버드콜ATM,8390,▲,25,0.3,32383,8390,8375,8380,8395,8360
'289670,ARIRANG 국채선물10년,48425,▲,615,1.29,259,48420,48390,48185,48460,47935
'290080,KBSTAR 200고배당커버드콜ATM,7390,▼,-35,-0.47,19513,7390,7370,7440,7440,7360
'290130,KBSTAR ESG사회책임투자,9890,▲,40,0.41,18269,9890,9865,9835,9920,9835
'291130,ACE 멕시코MSCI(합성),12365,▲,200,1.64,425,12365,12350,12355,12370,12305
'291620,KOSEF 코스닥150선물인버스,10040,▲,40,0.4,2646,10040,10030,9990,10050,9930
'291630,KOSEF 코스닥150선물레버리지,3065,▼,-20,-0.65,10043,3065,3055,3085,3105,3045
'291680,KBSTAR 차이나H선물인버스(H),16400,▼,-35,-0.21,2110,16450,16400,16425,16550,16050
'291890,KODEX MSCI EM선물(H),6870,▲,80,1.18,51,6860,6790,6830,6870,6830
'292050,KBSTAR KRX300,13795,▲,65,0.47,49,13835,13795,13735,13835,13735
'292150,TIGER TOP10,9650,▲,50,0.52,155061,9650,9640,9635,9710,9580
'292160,TIGER KRX300,13570,▲,55,0.41,0,13605,13570,0,0,0
'292190,KODEX KRX300,13595,▲,85,0.63,664,13595,13580,13510,13640,13510
'292340,마이티 200커버드콜ATM레버리지,6330,▲,45,0.72,1,6350,6330,6330,6330,6330
'292500,SOL KRX300,13540,▼,-45,-0.33,1,13615,13560,13540,13540,13540
'292560,TIGER 일본엔선물,9400,▼,-25,-0.27,21061,9410,9400,9435,9440,9385
'292730,FOCUS KRX300,13705,▲,135,0.99,1,13670,13620,13705,13705,13705
'292750,ARIRANG KRX300,13550,▲,100,0.74,70,13550,13510,13495,13595,13475
'292770,KODEX 국채선물3년인버스,53050,▼,-35,-0.07,26,53000,52945,53100,53100,53050
'293180,HANARO 200,29570,▲,200,0.68,19965,29590,29570,29425,29730,29330
'293480,하나제약,13850,▲,150,1.09,32121,13850,13800,13800,13950,13650
'293940,신한알파리츠,6800, ,0,0,71690,6820,6800,6860,6900,6700
'294400,KOSEF 200TR,35785,▲,185,0.52,15637,35845,35785,35550,36020,35510
'294870,HDC현대산업개발,9810,▼,-170,-1.7,309284,9810,9800,9990,10000,9790
'295000,KBSTAR 국채선물10년,47640,▲,460,0.97,444,47675,47640,47480,47740,47130
'295020,KBSTAR 국채선물10년인버스,56160,▼,-600,-1.06,86,56200,56160,56640,56640,56100
'295040,SOL 200TR,10260,▲,85,0.84,1077,10255,10235,10175,10300,10175
'295820,ARIRANG 200동일가중,8370,▼,-40,-0.48,1085,8370,8345,8420,8425,8370
'298000,효성화학,109000,▼,-1000,-0.91,7308,109500,109000,111500,111500,108000
'298020,효성티앤씨,276000,▼,-3000,-1.08,7807,277000,276000,280000,280000,274000
'298040,효성중공업,49700,▼,-1200,-2.36,77762,49800,49700,50900,51200,49100
'298050,효성첨단소재,311000,▼,-6000,-1.89,19432,311500,311000,317500,319000,310500
'298340,ARIRANG 국채선물3년,51180,▲,205,0.4,0,51215,51180,0,0,0
'298690,에어부산,2040, ,0,0,221642,2045,2040,2050,2065,2025
'298770,KODEX 한국대만IT프리미어,15270,▲,85,0.56,1169,15270,15240,15185,15285,15155
'299070,ACE 국채선물10년인버스,114335,▼,-35,-0.03,1,113170,113090,114335,114335,114335
'299080,ACE 국채선물3년인버스,106285,▼,-175,-0.16,0,106285,106225,0,0,0
'300610,TIGER K게임,8385,▲,95,1.15,68694,8385,8380,8320,8495,8140
'300640,KBSTAR 게임테마,9900,▲,120,1.23,37958,9900,9880,9825,10000,9630
'300720,한일시멘트,11000,▼,-350,-3.08,61191,11050,11000,11500,11500,10900
'300950,KODEX 게임산업,7460,▲,70,0.95,17823,7465,7460,7440,7560,7295
'301400,ARIRANG 코스닥150,10000,▼,-40,-0.4,485,10000,9995,10055,10100,9995
'301410,ARIRANG 코스닥150선물인버스,8675,▲,35,0.41,27090,8680,8675,8640,8695,8585
'301440,ARIRANG 코스피중형주,9130,▼,-55,-0.6,72,9130,9105,9205,9205,9130
'302190,TIGER 중장기국채,46955,▲,270,0.58,6984,46955,46920,46830,46975,46600
'302440,SK바이오사이언스,74300,▼,-3900,-4.99,521052,74300,74200,79800,79900,74000
'302450,KBSTAR 코스피,23030,▲,105,0.46,19164,23080,23050,22955,23140,22955
'304660,KODEX 미국채울트라30년선물(H),8340,▲,290,3.6,245812,8345,8340,8190,8340,8170
'304670,KODEX 미국채울트라30년선물인버스(H),10855,▼,-275,-2.47,30016,10855,10850,10935,10945,10850
'304760,HANARO KRX300,13320,▲,50,0.38,137,13355,13320,13265,13385,13245
'304770,HANARO 코스닥150,9840,▼,-5,-0.05,135,9840,9795,9860,9895,9825
'304780,HANARO 200선물레버리지,14175,▲,230,1.65,5956,14175,14155,13995,14295,13950
'304940,KODEX 미국나스닥100선물(H),14300,▼,-40,-0.28,894237,14315,14300,14295,14335,14250
'305050,ACE 코스피,22995,▲,150,0.66,489,22985,22955,22845,23045,22780
'305080,TIGER 미국채10년선물,12285,▲,5,0.04,23905,12290,12285,12280,12320,12250
'305540,TIGER 2차전지테마,18770, ,0,0,935185,18780,18770,18910,19035,18770
'305720,KODEX 2차전지산업,20300,▲,165,0.82,1214695,20300,20290,20270,20435,20175
'306200,세아제강,152000, ,0,0,9722,152000,151500,154000,154500,150000
'306520,HANARO 200선물인버스,12015,▼,-125,-1.03,3410,12050,12025,12115,12140,11985
'306530,HANARO 코스닥150선물레버리지,6175,▼,-50,-0.8,9245,6175,6145,6240,6255,6125
'306950,KODEX KRX300레버리지,9895,▲,90,0.92,6488,9910,9895,9710,9940,9710
'307010,KBSTAR KRX300레버리지,9925,▲,140,1.43,10,9930,9905,9770,9980,9770
'307510,TIGER 의료기기,12265,▼,-40,-0.33,292,12255,12210,12300,12320,12265
'307520,TIGER 지주회사,8910,▲,10,0.11,319,8910,8885,8865,8920,8860
'307950,현대오토에버,114000, ,0,0,24409,114500,114000,114000,116000,113000
'308170,센트랄모텍,12700,▼,-150,-1.17,21372,12800,12700,12900,12950,12600
'308620,KODEX 미국채10년선물,12030,▲,10,0.08,7330,12035,12030,12020,12060,12015
'309210,ARIRANG KRX300헬스케어,8425,▲,20,0.24,1596,8425,8395,8430,8465,8385
'309230,ACE 미국WideMoat가치주,18140,▲,60,0.33,7334,18175,18140,18130,18195,18130
'310080,KBSTAR 중국MSCI China(H),6565, ,0,0,900,6565,6520,6430,6675,6430
'310960,TIGER 200TR,16045,▲,105,0.66,2165,16045,16020,15920,16110,15920
'310970,TIGER MSCI Korea TR,12255,▲,125,1.03,7046,12290,12255,12205,12325,12200
'314250,KODEX 미국FANG플러스(H),17625,▼,-135,-0.76,74618,17625,17605,17600,17720,17510
'314700,HANARO 농업융복합산업,10920,▲,115,1.06,112,10945,10915,10835,10970,10835
'315270,TIGER 200커뮤니케이션서비스,16125,▼,-190,-1.16,101,16155,16120,16125,16125,16125
'315480,KBSTAR 200커뮤니케이션서비스,10055,▼,-135,-1.32,12,10085,10060,10115,10140,10055
'315930,KODEX Top5PlusTR,14335,▲,60,0.42,1343175,14335,14295,14240,14405,14215
'315960,KBSTAR 대형고배당10TR,13160,▲,100,0.77,1414,13160,13125,13090,13230,13075
'316140,우리금융지주,11350,▼,-150,-1.3,2296456,11350,11300,11550,11600,11300
'316300,ACE 싱가포르리츠,11940,▲,505,4.42,2206,11940,11860,11525,12070,11525
'316670,KOSEF 코스닥150,4890,▼,-25,-0.51,244,4890,4875,4915,4940,4875
'317400,자이에스앤디,6690,▲,230,3.56,735022,6700,6690,6460,7030,6330
'319640,TIGER 골드선물(H),11860,▲,95,0.81,10586,11860,11845,11765,11865,11755
'319870,KBSTAR KRX300미국달러선물혼합,14100,▲,10,0.07,8,14110,14010,14025,14100,14025
'321410,KODEX 멀티에셋하이인컴(H),8550,▲,15,0.18,2,8630,8550,8550,8550,8550
'322000,현대에너지솔루션,55800, ,0,0,341457,55900,55800,57100,57900,55700
'322120,ACE 스마트퀄리티,13295,▲,115,0.87,20,13295,13250,13220,13295,13220
'322130,ACE 스마트로우볼,13025,▲,110,0.85,20,13035,13000,12950,13025,12950
'322150,ACE 스마트하이베타,10785,▲,70,0.65,20,10790,10750,10760,10785,10760
'322400,HANARO e커머스,10425,▼,-150,-1.42,2191,10425,10400,10550,10550,10405
'322410,HANARO 고배당,9835,▼,-5,-0.05,262,9835,9810,9835,9855,9800
'323410,카카오뱅크,15950,▼,-400,-2.45,2635020,16000,15950,16400,16550,15900
'325010,KODEX Fn성장,12115,▲,60,0.5,100,12115,12085,12115,12115,12115
'325020,KODEX 배당가치,10865,▲,55,0.51,3590,10865,10830,10830,10915,10810
'326030,SK바이오팜,56200,▼,-200,-0.35,69858,56300,56200,56400,57100,56000
'326230,KBSTAR 내수주플러스,7215,▼,-55,-0.76,3871,7245,7225,7240,7250,7215
'326240,KBSTAR IT플러스,14985,▲,140,0.94,3466,14985,14940,14900,15005,14835
'328370,ARIRANG 코스피TR,11685,▲,75,0.65,78,11685,11655,11610,11725,11610
'329180,현대중공업,105500,▲,1500,1.44,242120,106000,105500,104000,106500,103500
'329200,TIGER 리츠부동산인프라,4320,▲,25,0.58,253915,4320,4310,4305,4320,4275
'329650,KODEX TRF3070,10695,▲,65,0.61,30222,10695,10690,10700,10700,10670
'329660,KODEX TRF5050,11905,▲,45,0.38,10136,11905,11830,11945,11945,11815
'329670,KODEX TRF7030,13050,▲,55,0.42,665,13050,13000,13050,13060,13030
'329750,TIGER 미국달러단기채권액티브,12225,▼,-55,-0.45,323898,12225,12220,12250,12270,12200
'330590,롯데리츠,3580,▼,-5,-0.14,372512,3580,3575,3620,3620,3500
'331910,KOSEF Fn중소형,18095,▼,-210,-1.15,94361,18095,18030,18360,18360,18095
'332500,ACE 200TR,18410,▲,150,0.82,620,18410,18380,18290,18490,18250
'332610,ARIRANG 미국단기우량회사채,115300,▼,-1070,-0.92,253,115920,115320,116330,116330,115120
'332620,ARIRANG 미국장기우량회사채,84090,▲,1090,1.31,1049,84550,84090,83660,84695,83650
'332930,HANARO 200TR,35855,▲,240,0.67,101,35860,35835,35610,36015,35575
'332940,HANARO MSCI Korea TR,12245,▲,75,0.62,56,12285,12245,12165,12285,12150
'333940,ARIRANG KS로우볼가중TR,11200,▲,80,0.72,20,11200,11165,11130,11225,11130
'333950,ARIRANG KS로우사이즈가중TR,13035,▲,45,0.35,20,13035,13000,13045,13090,13005
'333960,ARIRANG KS모멘텀가중TR,11790,▲,25,0.21,20,11790,11755,11800,11850,11785
'333970,ARIRANG KS밸류가중TR,13280,▲,55,0.42,26,13280,13240,13240,13330,13235
'333980,ARIRANG KS퀄리티가중TR,11875,▲,85,0.72,21,11875,11845,11830,11910,11810
'334690,KBSTAR 팔라듐선물(H),10890,▼,-200,-1.8,11213,10890,10875,10780,10900,10740
'334700,KBSTAR 팔라듐선물인버스(H),4150,▲,85,2.09,2209,4150,4145,4140,4195,4140
'334890,이지스밸류리츠,4160,▲,40,0.97,96736,4160,4155,4165,4270,4120
'336160,KBSTAR 금융채액티브,97360,▲,75,0.08,3,97460,97380,97215,97360,97215
'336260,두산퓨얼셀,26150,▲,250,0.97,205761,26150,26100,26150,26500,25650
'33626K,두산퓨얼셀1우,8780,▼,-70,-0.79,5937,8840,8780,8800,9000,8770
'33626L,두산퓨얼셀2우B,11500,▲,100,0.88,5336,11500,11400,11500,11550,11250
'336370,솔루스첨단소재,33750,▼,-1250,-3.57,119955,33750,33700,35200,35450,33750
'33637K,솔루스첨단소재1우,8670,▼,-120,-1.37,7494,8670,8650,8810,8810,8670
'33637L,솔루스첨단소재2우B,9380,▼,-310,-3.2,2304,9490,9380,9720,9720,9380
'337120,KODEX Fn멀티팩터,10795,▲,10,0.09,47591,10845,10800,10780,10880,10770
'337140,KODEX 코스피대형주,10880,▲,95,0.88,1199217,10880,10850,10785,10900,10785
'337150,KODEX 200exTOP,9840,▲,5,0.05,0,9870,9840,0,0,0
'337160,KODEX 200ESG,10920,▲,65,0.6,200,10920,10870,10840,10970,10830
'338100,NH프라임리츠,4060,▲,10,0.25,18725,4060,4055,4100,4100,4000
'339770,교촌에프앤비,10400,▲,50,0.48,26826,10400,10350,10400,10400,10150
'341850,TIGER 리츠부동산인프라채권TR KIS,4480,▲,30,0.67,18766,4480,4460,4450,4480,4440
'342140,ACE 싱가포르리츠채권혼합모닝스타,8935,▲,190,2.17,26,8940,8885,8945,8945,8865
'344820,KCC글라스,37100,▼,-1400,-3.64,64022,37150,37100,38850,38850,37050
'346000,HANARO KAP초장기국고채,34635,▲,645,1.9,4101,34695,34635,34325,34700,34000
'348950,제이알글로벌리츠,3935,▲,15,0.38,419569,3935,3925,3930,3935,3900
'350520,이지스레지던스리츠,3680,▲,85,2.36,109409,3680,3675,3595,3680,3505
'352540,KODEX TSE일본리츠(H),12440,▲,450,3.75,753,12535,12440,12015,12480,12015
'352560,KODEX 다우존스미국리츠(H),11275,▲,375,3.44,4228,11275,11230,11140,11390,11140
'352820,하이브,115000,▼,-3000,-2.54,120404,115500,115000,118000,119500,115000
'353200,대덕전자,24250,▼,-850,-3.39,424139,24300,24250,25100,25200,24100
'35320K,대덕전자1우,9880,▼,-170,-1.69,2406,9880,9850,10050,10050,9800
'354240,KBSTAR 미국고정배당우선증권ICE TR,10190,▲,35,0.34,2893,10190,10150,10160,10215,10135
'354350,HANARO 글로벌럭셔리S&P(합성),16190,▲,215,1.35,6808,16190,16175,16060,16290,16060
'354500,ACE 코스닥150,9820,▼,-35,-0.36,4599,9810,9800,9860,9915,9805
'356540,ACE 종합채권(AA-이상)KIS액티브,89700,▲,940,1.06,5160,89685,89515,89280,89700,89170
'357120,코람코에너지리츠,4420,▲,30,0.68,58480,4420,4395,4410,4420,4360
'357250,미래에셋맵스리츠,3100,▼,-15,-0.48,35269,3140,3100,3140,3140,3070
'357430,마스턴프리미어리츠,3305,▼,-15,-0.45,20392,3315,3305,3320,3375,3300
'357870,TIGER CD금리투자KIS(합성),51335,▲,5,0.01,110802,51335,51330,51330,51335,51330
'359210,KODEX 코스피TR,10680,▲,95,0.9,691536,10680,10660,10620,10710,10610
'360140,KODEX 200롱코스닥150숏선물,10755,▲,65,0.61,21856,10790,10760,10680,10780,10670
'360150,KODEX 코스닥150롱코스피200숏선물,8375,▼,-90,-1.06,561,8370,8355,8485,8485,8360
'360200,ACE 미국S&P500,13820,▼,-10,-0.07,129545,13820,13815,13840,13875,13805
'360750,TIGER 미국S&P500,13690,▲,5,0.04,960097,13690,13685,13705,13740,13665
'361580,KBSTAR 200TR,15545,▲,130,0.84,520115,15535,15530,15445,15610,15400
'361610,SK아이이테크놀로지,48400,▼,-1450,-2.91,355617,48500,48400,50200,50300,48350
'363280,티와이홀딩스,10800,▼,-400,-3.57,97347,10800,10750,11150,11200,10450
'36328K,티와이홀딩스우,11000,▼,-300,-2.65,4350,11000,10950,11300,11300,10800
'363510,SOL KIS단기통안채,101555,▲,10,0.01,4,101560,101550,101565,101565,101550
'363570,KODEX 장기종합채권(AA-이상)액티브KAP,80750,▲,1795,2.27,77,80725,80595,79865,80750,79865
'363580,KODEX 200IT TR,10520,▲,140,1.35,7846,10540,10515,10455,10585,10365
'364690,KODEX 혁신기술테마액티브,10440,▲,70,0.68,181,10440,10395,10365,10465,10365
'364960,TIGER KRX BBIG K-뉴딜,6560,▼,-20,-0.3,178724,6560,6555,6600,6610,6535
'364970,TIGER KRX바이오K-뉴딜,6195,▼,-20,-0.32,160919,6195,6190,6225,6275,6170
'364980,TIGER KRX2차전지K-뉴딜,14480,▲,305,2.15,994820,14485,14480,14335,14490,14270
'364990,TIGER KRX게임K-뉴딜,5365,▼,-35,-0.65,99611,5365,5360,5405,5440,5285
'365000,TIGER KRX인터넷K-뉴딜,3685,▼,-80,-2.12,150277,3685,3680,3760,3760,3675
'365040,TIGER AI코리아그로스액티브,10210,▲,70,0.69,103,10190,10160,10155,10225,10155
'365550,ESR켄달스퀘어리츠,3340,▲,35,1.06,490196,3340,3330,3310,3345,3230
'365780,ACE 국고채10년,82900,▲,760,0.93,2987,82900,82865,82565,82970,81940
'367380,ACE 미국나스닥100,12545,▼,-60,-0.48,99184,12550,12545,12565,12595,12520
'367740,HANARO Fn5G산업,10575,▼,-25,-0.24,402,10575,10540,10585,10615,10550
'367760,KBSTAR Fn5G테크,7335,▼,-60,-0.81,28020,7335,7330,7425,7425,7320
'367770,KBSTAR Fn수소경제테마,8770, ,0,0,51854,8770,8760,8805,8820,8730
'368190,HANARO Fn K-뉴딜디지털플러스,8265,▲,45,0.55,4261,8265,8240,8220,8285,8220
'368200,KBSTAR Fn K-뉴딜디지털플러스,8260,▲,30,0.36,257,8290,8260,8265,8290,8260
'368590,KBSTAR 미국나스닥100,12160,▼,-80,-0.65,36966,12160,12155,12175,12195,12145
'368680,KODEX Fn K-뉴딜디지털플러스,8300,▲,45,0.55,136,8300,8265,8260,8340,8240
'371130,ACE 베트남VN30선물블룸버그레버리지(H),7600,▼,-150,-1.94,14746,7600,7590,7670,7760,7485
'371150,KBSTAR 차이나항셍테크,4535,▲,25,0.55,15488,4545,4535,4505,4690,4400
'371160,TIGER 차이나항셍테크,4570,▼,-10,-0.22,2501219,4575,4570,4550,4755,4480
'371450,TIGER 글로벌클라우드컴퓨팅INDXX,8495,▲,75,0.89,16204,8575,8495,8430,8610,8430
'371460,TIGER 차이나전기차SOLACTIVE,13585,▼,-45,-0.33,2954881,13585,13580,13685,13835,13490
'371470,TIGER 차이나바이오테크SOLACTIVE,7525,▲,260,3.58,27408,7525,7510,7155,7620,7125
'371870,ACE 차이나항셍테크,4510, ,0,0,2048,4535,4520,4510,4690,4430
'372330,KODEX 차이나항셍테크,4585,▼,-20,-0.43,542073,4605,4585,4640,4760,4490
'372910,한컴라이프케어,5890,▲,880,17.56,9275789,5890,5880,5160,6290,5030
'373220,LG에너지솔루션,529000,▲,18000,3.52,445935,529000,528000,517000,530000,514000
'373490,KODEX K-이노베이션액티브,9390,▲,70,0.75,280,9390,9355,9350,9430,9335
'373530,ARIRANG 신흥국MSCI인버스(합성 H),13010,▲,5,0.04,163,13010,12920,13055,13055,12915
'373790,KOSEF 미국방어배당성장나스닥,13790,▼,-35,-0.25,3052,13790,13785,13965,13965,13745
