Stock Code,Stock name, Price, Compared to the previous day,,fluctuation rate,Volume,sell price,buying price,open price, high price, low price
'021820,세원정공,8090, ,0,0,0,0,0,0,0,0
'023000,삼원강재,2555,▲,15,0.59,4848,2555,2540,2580,2580,2520
'023150,MH에탄올,7560,▼,-170,-2.2,11299,7620,7560,7730,7760,7550
'023350,한국종합기술,6720,▼,-80,-1.18,113301,6730,6720,6830,6990,6680
'023450,동남합성,53900,▲,100,0.19,915,53900,53800,53800,54200,53600
'023530,롯데쇼핑,88400,▼,-100,-0.11,35375,88400,88300,88600,88900,87700
'023590,다우기술,17850,▲,250,1.42,31930,17850,17800,17600,17900,17550
'023800,인지컨트롤스,8250,▼,-130,-1.55,92818,8260,8250,8390,8480,8220
'023810,인팩,6330,▲,20,0.32,13130,6330,6320,6360,6430,6110
'023960,에쓰씨엔지니어링,1950,↑,450,30,990068,0,1950,1540,1950,1505
'024070,WISCOM,2700,▼,-35,-1.28,3778,2700,2695,2725,2725,2690
'024090,디씨엠,13800, ,0,0,17277,13800,13750,13900,13900,13600
'024110,기업은행,10000,▼,-150,-1.48,655299,10050,10000,10150,10200,10000
'024720,한국콜마홀딩스,13550,▼,-150,-1.09,29087,13650,13550,14000,14000,13550
'024890,대원화성,2660,▼,-25,-0.93,1033917,2660,2655,2775,2780,2650
'024900,덕양산업,2790,▼,-5,-0.18,87865,2790,2770,2800,2810,2710
'025000,KPX케미칼,47600, ,0,0,2938,47600,47550,47500,47650,47250
'025530,SJM홀딩스,3625,▼,-110,-2.95,119776,3630,3625,3750,3760,3600
'025540,한국단자,51300,▼,-1600,-3.02,17859,51400,51300,53500,53500,51000
'025560,미래산업,8720,▼,-190,-2.13,31454,8720,8680,8910,8920,8600
'025620,제이준코스메틱,390,▼,-7,-1.76,478048,391,390,399,403,390
'025750,한솔홈데코,1030,▼,-20,-1.9,287982,1035,1030,1050,1065,1030
'025820,이구산업,3120,▼,-140,-4.29,3743942,3120,3115,3325,3390,3055
'025860,남해화학,8490,▼,-30,-0.35,99550,8500,8490,8590,8630,8480
'025890,한국주강,2465,▼,-5,-0.2,24429,2470,2465,2470,2480,2420
'026890,스틱인베스트먼트,5660,▼,-80,-1.39,38904,5660,5650,5690,5750,5640
'026940,부국철강,3270, ,0,0,104272,3270,3265,3280,3280,3190
'026960,동서,20050,▼,-200,-0.99,29911,20100,20050,20100,20300,19850
'027410,BGF,3250,▼,-40,-1.22,62865,3255,3250,3275,3295,3240
'027740,마니커,1230,▼,-5,-0.4,236097,1240,1230,1250,1260,1220
'027970,세하,1160,▲,15,1.31,33541,1160,1145,1140,1160,1125
'028050,삼성엔지니어링,22850,▼,-450,-1.93,1143410,22900,22850,23300,23550,22400
'028100,동아지질,12800,▼,-150,-1.16,11809,12800,12750,13000,13100,12750
'028260,삼성물산,112000,▲,2000,1.82,222301,112500,112000,110000,113000,110000
'02826K,삼성물산우B,101000,▲,1700,1.71,2784,101000,100500,99400,101000,99400
'028670,팬오션,4330,▼,-85,-1.93,1737038,4335,4330,4420,4455,4320
'029460,케이씨,15500,▼,-100,-0.64,10047,15500,15400,15550,15550,15350
'029530,신도리코,32350,▲,150,0.47,11581,32350,32300,32250,32600,32200
'029780,삼성카드,30250,▼,-300,-0.98,72706,30300,30250,30400,30500,30200
'030000,제일기획,24000,▲,500,2.13,340710,24000,23950,23500,24250,23400
'030200,KT,36400,▲,400,1.11,683669,36450,36400,36050,36600,35950
'030210,다올투자증권,3045,▲,15,0.5,825063,3045,3030,3055,3070,2920
'030610,교보증권,5250,▼,-30,-0.57,43706,5250,5240,5320,5320,5200
'030720,동원수산,8700,▼,-20,-0.23,30127,8730,8700,8870,8870,8670
'030790,비케이탑스,904, ,0,0,0,0,0,0,0,0
'031430,신세계인터내셔날,23300,▼,-300,-1.27,135963,23350,23300,23650,23650,22950
'031440,신세계푸드,47850,▼,-200,-0.42,3252,47850,47750,48100,48500,47750
'031820,콤텍시스템,636,▼,-40,-5.92,1910733,637,636,678,680,636
'032350,롯데관광개발,8860,▼,-180,-1.99,997937,8870,8860,9050,9070,8680
'032560,황금에스티,7090,▼,-110,-1.53,103389,7100,7090,7240,7240,7070
'032640,LG유플러스,11250, ,0,0,1138122,11250,11200,11200,11400,11200
'032830,삼성생명,65400,▼,-1400,-2.1,195060,65500,65400,66300,66900,65000
'033180,KH 필룩스,987,▼,-8,-0.8,310869,987,985,998,1005,976
'033240,자화전자,18550,▼,-1600,-7.94,471406,18600,18550,20400,20400,18300
'033250,체시스,914,▼,-42,-4.39,266975,916,914,956,956,900
'033270,유나이티드제약,24250,▲,600,2.54,105067,24350,24250,24150,24800,23700
'033530,세종공업,4510,▼,-95,-2.06,33758,4555,4510,4620,4665,4500
'033780,KT&G,92800,▲,3400,3.8,851574,92800,92700,89700,92800,89400
'033920,무학,4695,▼,-35,-0.74,50233,4700,4695,4735,4740,4670
'034020,두산에너빌리티,12950, ,0,0,5972837,13000,12950,13100,13400,12850
'034120,SBS,28400,▼,-700,-2.41,51814,28400,28350,29450,29450,28100
'034220,LG디스플레이,13250,▼,-150,-1.12,1516243,13300,13250,13450,13600,12800
'034300,신세계건설,16300,▼,-600,-3.55,10979,16450,16300,16800,16900,16150
'034310,NICE,12200, ,0,0,24830,12200,12150,12150,12250,12050
'034590,인천도시가스,26850,▼,-300,-1.1,3592,26850,26800,27200,27450,26700
'034730,SK,205500,▼,-1000,-0.48,72956,205500,205000,204000,207000,203500
'03473K,SK우,171000,▲,1500,0.88,380,170500,169500,169500,171000,168500
'034830,한국토지신탁,1360,▼,-10,-0.73,499349,1360,1355,1375,1380,1350
'035000,지투알,5870,▼,-30,-0.51,9332,5870,5860,5910,5920,5860
'035150,백산,8510, ,0,0,96856,8510,8500,8580,8600,8360
'035250,강원랜드,22800,▼,-200,-0.87,400339,22850,22800,23000,23100,22600
'035420,NAVER,159500,▼,-6000,-3.63,1352211,160000,159500,165000,165000,159000
'035510,신세계 I&C,12350,▲,50,0.41,20215,12350,12300,12300,12550,12200
'035720,카카오,47700,▼,-1100,-2.25,2149830,47750,47700,48950,48950,47650
'036420,콘텐트리중앙,21650,▼,-450,-2.04,63143,21700,21650,22250,22250,21650
'036460,한국가스공사,33400,▲,50,0.15,177246,33450,33400,33350,33600,33000
'036530,SNT홀딩스,13800,▼,-350,-2.47,5622,13950,13800,14200,14200,13800
'036570,엔씨소프트,380500,▲,8000,2.15,116441,381000,380500,372500,390000,370000
'036580,팜스코,3565,▼,-35,-0.97,158354,3580,3565,3575,3635,3495
'037270,YG PLUS,4025,▼,-45,-1.11,150560,4030,4025,4100,4105,4020
'037560,LG헬로비전,4420,▲,35,0.8,162288,4425,4420,4385,4460,4375
'037710,광주신세계,31550,▲,150,0.48,2386,31550,31400,31400,31600,31200
'039130,하나투어,47800,▼,-1400,-2.85,169491,47850,47800,49300,49400,47500
'039490,키움증권,74000,▲,200,0.27,53982,74000,73900,74000,74700,73200
'039570,HDC랩스,7550,▲,10,0.13,8736,7550,7540,7540,7620,7480
'041650,상신브레이크,2680,▲,5,0.19,8332,2680,2670,2660,2730,2650
'042660,대우조선해양,17600,▼,-450,-2.49,326641,17650,17600,18150,18150,17600
'042670,현대두산인프라코어,5050,▲,485,10.62,12386803,5060,5050,4780,5190,4730
'042700,한미반도체,12050,▼,-250,-2.03,330629,12100,12050,12450,12500,12050
'044380,주연테크,630,▼,-44,-6.53,440082,634,630,677,679,630
'044450,KSS해운,8750,▼,-60,-0.68,28828,8750,8740,8810,8840,8660
'044820,코스맥스비티아이,7530,▼,-50,-0.66,11236,7530,7520,7580,7580,7470
'047040,대우건설,3975,▼,-5,-0.13,1277864,3980,3975,4005,4045,3950
'047050,포스코인터내셔널,19800,▼,-150,-0.75,438814,19850,19800,20000,20200,19700
'047400,유니온머티리얼,3060,▼,-105,-3.32,2799765,3065,3060,3145,3180,3025
'047810,한국항공우주,43500,▼,-200,-0.46,493242,43550,43500,43950,44150,43500
'049770,동원F&B,128500,▲,1000,0.78,5204,128500,127500,126500,129000,126500
'049800,우진플라임,3640,▼,-10,-0.27,24386,3650,3640,3650,3700,3585
